date,Vancouver,Victoria,Whitehorse
2022-12-06,1.65,2.65,-11.39
2022-12-05,-2,0.55,-16
2022-12-04,-0.89,0.85,-10.1
2022-12-03,0.7,3,-11.65
2022-12-02,-1.5,0.59,-20.1
2022-12-01,-2.55,-1.14,-19.85
2022-11-30,1.2,2,-25
2022-11-29,-1.5,1.75,-18.45
2022-11-28,0.29,1.79,-14.1
2022-11-27,5.55,4.35,-9.5
2022-11-26,4.75,4.55,-6.4
2022-11-25,7.15,5.25,-8.85
2022-11-24,7.69,5.85,-4.09
2022-11-23,6.6,5.25,-1.9
2022-11-22,7.55,7,0.39
2022-11-21,6,6.44,0.54
2022-11-20,2.45,2.59,-2.95
2022-11-19,0.79,2.5,-9.4
2022-11-18,0.79,2.8,-12.85
2022-11-17,5,5.65,-9.8
2022-11-16,3.25,3.3,-6.25
2022-11-15,2.75,2.8,-0.5
2022-11-14,3.34,4.5,3.45
2022-11-13,4.3,5.05,1.99
2022-11-12,2.95,4.75,0.09
2022-11-11,4.64,4.84,-4.7
2022-11-10,3.95,3,-6.25
2022-11-09,0.79,2.5,-9.8
2022-11-08,2.04,2.54,-13.55
2022-11-07,2.5,2.15,-20.2
2022-11-06,3.6,5.65,-15.85
2022-11-05,5.65,6.75,-12.9
2022-11-04,7.45,10,-7.45
2022-11-03,4,3.85,-1.85
2022-11-02,5.7,6.5,-4.9
2022-11-01,5.95,5.3,-8.15
2022-10-31,8.94,9.4,-5.9
2022-10-30,10.9,11,-3.5
2022-10-29,10.3,10.6,-8.35
2022-10-28,11.14,9.8,-9.44
2022-10-27,10.25,12.3,-3.6
2022-10-26,7.44,5.8,-2.95
2022-10-25,8.8,7.44,-7.6
2022-10-24,10.35,10.1,-2.5
2022-10-23,7.6,7.25,0.65
2022-10-22,9.05,8.94,1.35
2022-10-21,10.3,8,2.29
2022-10-20,13.15,10.95,5.8
2022-10-19,9.85,13.3,7.4
2022-10-18,11.8,12.45,4.55
2022-10-17,14.14,11.4,7.2
2022-10-16,13.1,16.75,10.95
2022-10-15,12.05,16.7,1.2
2022-10-14,12.35,14.25,-2.15
2022-10-13,11.89,14.05,5.05
2022-10-12,10.95,12.8,7
2022-10-11,12.55,10.75,7.44
2022-10-10,14.3,13.5,5.15
2022-10-09,14.39,14.95,10.9
2022-10-08,14.25,15.5,13.2
2022-10-07,15.2,16.7,12.3
2022-10-06,14,15.55,10.35
2022-10-05,14.95,13.35,8.65
2022-10-04,15.35,11.4,4.5
2022-10-03,14.65,15.9,7.5
2022-10-02,14.75,16.6,8.35
2022-10-01,14.25,16.3,9.69
2022-09-30,14.5,14.55,9.25
2022-09-29,15.75,15.05,9.75
2022-09-28,16.75,14.7,4.2
2022-09-27,16.55,14.9,8.3
2022-09-26,15.8,17.79,11.2
2022-09-25,15,16.6,8.1
2022-09-24,15.75,16.5,8.65
2022-09-23,15.15,14.85,8.25
2022-09-22,14.85,13.6,8.75
2022-09-21,13.25,16.8,14.45
2022-09-20,13.25,17.35,12.14
2022-09-19,13.45,15.25,7.6
2022-09-18,14.45,16.85,6.95
2022-09-17,13.35,14.15,7.9
2022-09-16,15,14.35,7.6
2022-09-15,15.85,15.9,9.9
2022-09-14,17.14,15.5,11.45
2022-09-13,15.45,16.45,10.3
2022-09-12,18.75,16.6,7.44
2022-09-11,19.25,17.05,6.55
2022-09-10,17.39,18.2,10.65
2022-09-09,16.2,18.64,13.4
2022-09-08,14.05,15.15,7.55
2022-09-07,16.8,16.55,10.04
2022-09-06,15.6,16.64,8.3
2022-09-05,15.8,16.64,7.3
2022-09-04,17.75,17.2,9.05
2022-09-03,18.89,17.05,13.8
2022-09-02,19.25,16.7,10.9
2022-09-01,21.15,15.39,11.14
2022-08-31,22.1,20.7,12.45
2022-08-30,20.8,22.15,11.75
2022-08-29,19.64,18.64,13.15
2022-08-28,17.7,16.39,12.89
2022-08-27,18.3,15.95,11.9
2022-08-26,18.1,15.75,11.1
2022-08-25,21.6,18.2,15.7
2022-08-24,20.7,19.95,18
2022-08-23,19,19,17.75
2022-08-22,19.8,18.6,18.2
2022-08-21,20.79,17,15.5
2022-08-20,21.1,16.75,15.64
2022-08-19,22.75,20.75,16.2
2022-08-18,22.05,22.4,15.3
2022-08-17,20.39,21.9,15.3
2022-08-16,20.3,19.14,13.35
2022-08-15,20.6,17.39,14.7
2022-08-14,19.45,17.85,15.5
2022-08-13,20.14,17.95,16.95
2022-08-12,18.89,17.79,17.14
2022-08-11,19.39,19.14,11.7
2022-08-10,19.3,16.6,11.05
2022-08-09,20,18.75,14.75
2022-08-08,19.55,20.8,12.45
2022-08-07,19.6,20.35,12.45
2022-08-06,18.75,20.39,13.8
2022-08-05,17,17.25,13.15
2022-08-04,17.75,17.2,15.85
2022-08-03,18.45,16.29,15.05
2022-08-02,20,16.5,14.2
2022-08-01,20.6,17.8,16.6
2022-07-31,23.2,21,16.89
2022-07-30,23.45,21.8,17.7
2022-07-29,23.4,20.95,16.45
2022-07-28,22.9,20.2,13.6
2022-07-27,24.45,19.89,13.64
2022-07-26,22.6,24,20.25
2022-07-25,20.39,19.95,18.25
2022-07-24,18.1,17.95,11.35
2022-07-23,16.64,16.5,12.6
2022-07-22,17.85,15.5,11.14
2022-07-21,19.25,17,11.95
2022-07-20,18.2,18.2,10.7
2022-07-19,17.1,17.35,12.65
2022-07-18,17.25,15.8,15.25
2022-07-17,15.9,16.45,13.45
2022-07-16,18.5,16.7,14.7
2022-07-15,17.7,15.14,13.45
2022-07-14,19.39,16,10.25
2022-07-13,18.25,15.9,9.44
2022-07-12,18.39,17.85,10.15
2022-07-11,18.55,19.85,15
2022-07-10,19,16.75,15
2022-07-09,17.7,19,16.6
2022-07-08,18,17.39,16.89
2022-07-07,19.04,17.2,18.5
2022-07-06,18.95,17.3,19.05
2022-07-05,17.35,17.95,21.2
2022-07-04,15.1,14.85,20.6
2022-07-03,14.25,13.75,18.95
2022-07-02,16.39,16.45,18.95
2022-07-01,18.45,18,18.75
2022-06-30,16.6,17.14,17.35
2022-06-29,17.25,14.55,17.1
2022-06-28,17.64,17.2,17.95
2022-06-27,20.14,21.85,17.95
2022-06-26,18.39,21.9,17.25
2022-06-25,16.6,20.14,16.7
2022-06-24,13.6,16.64,15.15
2022-06-23,14.55,13.7,15.85
2022-06-22,15.8,16.04,14.35
2022-06-21,15.65,14.1,11.25
2022-06-20,15.14,14.45,11.6
2022-06-19,15.25,14.65,13.85
2022-06-18,15.15,15.15,14.85
2022-06-17,14.2,13.8,15.55
2022-06-16,15,15.1,13.75
2022-06-15,13.8,11.9,13.05
2022-06-14,14.75,14,8.9
2022-06-13,14.7,14.1,8.05
2022-06-12,14.55,14.6,7.9
2022-06-11,15.85,14.15,10.7
2022-06-10,16.95,14.75,12.65
2022-06-09,13.65,12.05,12.3
2022-06-08,16.25,14.9,13.3
2022-06-07,13.45,14.14,11.2
2022-06-06,13.3,11.2,13.7
2022-06-05,16.05,16.1,15.65
2022-06-04,16.5,14.35,15.7
2022-06-03,15.6,14.1,16.85
2022-06-02,16.79,17.3,14.85
2022-06-01,14.25,15.95,13.9
2022-05-31,14.4,14.05,13.4
2022-05-30,12,12.35,12.5
2022-05-29,13.35,12.2,10.15
2022-05-28,11.8,12.6,10.3
2022-05-27,12.85,13.1,7.25
2022-05-26,13.25,11.85,7.25
2022-05-25,14.5,14.05,8
2022-05-24,12.89,11.05,7.3
2022-05-23,14.2,14.05,7.6
2022-05-22,13.8,11.9,9.75
2022-05-21,11.6,12.75,9.4
2022-05-20,9.44,10.8,8.15
2022-05-19,11.35,9.69,7.05
2022-05-18,11.85,10.35,4.75
2022-05-17,10.5,9.05,5.09
2022-05-16,11.8,12.1,4.89
2022-05-15,12.3,11.1,5.15
2022-05-14,10.6,10.65,3.25
2022-05-13,8.8,6.85,6.15
2022-05-12,8.65,8.1,5.15
2022-05-11,10.65,9.25,3.55
2022-05-10,11.3,10.1,3.2
2022-05-09,10.45,9.1,5.09
2022-05-08,8.75,7.1,5.75
2022-05-07,9.64,8.55,3.4
2022-05-06,9.64,9.05,2.74
2022-05-05,9.39,8.44,4.05
2022-05-04,10.1,9.75,5
2022-05-03,10.95,10.7,5.5
2022-05-02,11.85,10.15,5.35
2022-05-01,10.39,8.6,4.2
2022-04-30,11.2,9.75,3.64
2022-04-29,10.9,7.9,1.65
2022-04-28,7.45,7.8,3.3
2022-04-27,7.65,7.35,3.09
2022-04-26,7.85,6.94,5.15
2022-04-25,10.55,9.85,4.4
2022-04-24,11.05,9.1,3.95
2022-04-23,9.44,7.85,4.75
2022-04-22,9.44,9.6,-0.2
2022-04-21,9.25,7.5,-0.05
2022-04-20,8.25,6,-1.25
2022-04-19,8.4,6.6,-4.59
2022-04-18,8.65,8.55,-6.45
2022-04-17,7.75,4.6,-4.35
2022-04-16,4.85,5.9,-2.65
2022-04-15,5.65,4.89,-1.84
2022-04-14,4.6,6.25,-5.75
2022-04-13,4.89,5.75,-9.25
2022-04-12,5.25,4.65,-11.95
2022-04-11,7.1,7.5,-9
2022-04-10,5.94,3.85,-7.3
2022-04-09,7.4,6.55,-1.55
2022-04-08,9.3,9.35,0.44
2022-04-07,9.6,10.25,1.09
2022-04-06,6.5,6.1,-0.35
2022-04-05,8.35,8.75,-1.65
2022-04-04,7.85,7.3,-1.35
2022-04-03,7.6,7.94,-0.54
2022-04-02,8.15,7.95,-3.99
2022-04-01,7.5,5.7,-5.6
2022-03-31,8.25,7.1,-0.35
2022-03-30,8.9,8.5,1.75
2022-03-29,9.65,8.55,0.3
2022-03-28,8.3,9.39,-2.8
2022-03-27,9.94,10.5,-1.25
2022-03-26,9.9,9.15,-2.1
2022-03-25,8.65,7.85,0.29
2022-03-24,5.65,6.65,-1.65
2022-03-23,8.9,9.94,0.19
2022-03-22,9.8,8.5,-0.5
2022-03-21,6.5,6.7,-2.4
2022-03-20,4.35,5.2,-7.25
2022-03-19,7.95,7.6,-0.74
