glacier_id,lon,lat
RGI60-02.00586,-122.143,50.1154
RGI60-02.00587,-122.114,50.1121
RGI60-02.00588,-122.115,50.1086
RGI60-02.00589,-122.222,50.1116
RGI60-02.00590,-122.235,50.1177
RGI60-02.00591,-116.483,50.1245
RGI60-02.00592,-122.603,50.1213
RGI60-02.00593,-116.488,50.1255
RGI60-02.00594,-122.087,50.1259
RGI60-02.00595,-122.221,50.1251
RGI60-02.00596,-122.157,50.1282
RGI60-02.00597,-123.226,50.1252
RGI60-02.00598,-123.216,50.1212
RGI60-02.00599,-123.24,50.1173
RGI60-02.00600,-123.2,50.1151
RGI60-02.00601,-123.199,50.119
RGI60-02.00602,-117.169,50.1307
RGI60-02.00603,-123.603,50.132
RGI60-02.00604,-123.591,50.1303
RGI60-02.00605,-122.236,50.1298
RGI60-02.00606,-124.016,50.1348
RGI60-02.00607,-117.175,50.1337
RGI60-02.00608,-117.188,50.137
RGI60-02.00609,-117.232,50.1393
RGI60-02.00610,-122.345,50.1422
RGI60-02.00611,-122.269,50.1467
RGI60-02.00612,-116.784,50.1481
RGI60-02.00613,-116.726,50.1533
RGI60-02.00614,-123.74,50.1491
RGI60-02.00615,-122.787,50.1534
RGI60-02.00616,-123.315,50.1571
RGI60-02.00617,-116.778,50.1562
RGI60-02.00618,-116.451,50.1581
RGI60-02.00619,-122.297,50.1596
RGI60-02.00620,-116.728,50.1607
RGI60-02.00621,-126.23,50.1601
RGI60-02.00622,-116.462,50.1614
RGI60-02.00623,-123.735,50.16
RGI60-02.00624,-122.696,50.1592
RGI60-02.00625,-122.686,50.1585
RGI60-02.00626,-123.576,50.1604
RGI60-02.00627,-123.568,50.1579
RGI60-02.00628,-123.581,50.1651
RGI60-02.00629,-122.693,50.1645
RGI60-02.00630,-116.472,50.1644
RGI60-02.00631,-116.723,50.1658
RGI60-02.00632,-122.779,50.1649
RGI60-02.00633,-122.29,50.1656
RGI60-02.00634,-123.579,50.1676
RGI60-02.00635,-116.734,50.1663
RGI60-02.00636,-122.793,50.1682
RGI60-02.00637,-116.724,50.172
RGI60-02.00638,-116.711,50.174
RGI60-02.00639,-116.485,50.1738
RGI60-02.00640,-123.255,50.1757
RGI60-02.00641,-123.251,50.1747
RGI60-02.00642,-117.205,50.1763
RGI60-02.00643,-122.695,50.145
RGI60-02.00644,-122.747,50.1373
RGI60-02.00645,-122.719,50.1316
RGI60-02.00646,-122.726,50.1465
RGI60-02.00647,-122.745,50.1284
RGI60-02.00648,-122.798,50.1455
RGI60-02.00649,-122.666,50.1466
RGI60-02.00650,-122.77,50.1357
RGI60-02.00651,-122.764,50.1505
RGI60-02.00652,-122.675,50.1515
RGI60-02.00653,-121.726,50.1785
RGI60-02.00654,-116.709,50.179
RGI60-02.00655,-122.307,50.1774
RGI60-02.00656,-123.717,50.1736
RGI60-02.00657,-123.706,50.1805
RGI60-02.00658,-117.177,50.1813
RGI60-02.00659,-123.613,50.1786
RGI60-02.00660,-116.587,50.1852
RGI60-02.00661,-117.207,50.1857
RGI60-02.00662,-122.781,50.1844
RGI60-02.00663,-122.779,50.1749
RGI60-02.00664,-122.807,50.1779
RGI60-02.00665,-122.797,50.1794
RGI60-02.00666,-116.272,50.1855
RGI60-02.00667,-121.89,50.1879
RGI60-02.00668,-123.298,50.1326
RGI60-02.00669,-123.282,50.1211
RGI60-02.00670,-123.278,50.1339
RGI60-02.00671,-123.284,50.1797
RGI60-02.00672,-123.303,50.1878
RGI60-02.00673,-123.283,50.1631
RGI60-02.00674,-123.311,50.1769
RGI60-02.00675,-123.282,50.1738
RGI60-02.00676,-123.319,50.1645
RGI60-02.00677,-123.3,50.1498
RGI60-02.00678,-122.326,50.1906
RGI60-02.00679,-123.039,50.1785
RGI60-02.00680,-123.047,50.1854
RGI60-02.00681,-117.193,50.1867
RGI60-02.00682,-122.315,50.1917
RGI60-02.00683,-122.312,50.1856
RGI60-02.00684,-121.89,50.1948
RGI60-02.00685,-122.765,50.1945
RGI60-02.00686,-117.21,50.1929
RGI60-02.00687,-117.229,50.1964
RGI60-02.00688,-121.909,50.1973
RGI60-02.00689,-117.238,50.1967
RGI60-02.00690,-123.294,50.1963
RGI60-02.00691,-117.252,50.1972
RGI60-02.00692,-116.724,50.1953
RGI60-02.00693,-121.885,50.2011
RGI60-02.00694,-122.307,50.2017
RGI60-02.00695,-121.904,50.1972
RGI60-02.00696,-121.899,50.1995
RGI60-02.00697,-123.108,50.2039
RGI60-02.00698,-123.651,50.2021
RGI60-02.00699,-122.774,50.204
RGI60-02.00700,-122.791,50.2059
